ID,Group,Synonymies,Phylum,Class,Order,Family,Genus,species,Notes
xylo-1,Xylophaga,"xylo-4, xylo-8",Mollusca,Bivalvia,Myida,Xylophagaidae ,Xyloredo,sp. 1,"Flat tip siphon, maybe nooi"
xylo-2,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Abidtoconus,cf. brava,
xylo-3,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Spiniapex,gilsonorum,
xylo-5,Xylophaga,Xylo-6,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylopholas,sp. 5,"Very short, converging siphon, chitonous plates flanking siphon tip "
xylo-7,Xylophaga,,Mollusca,Bivalvia,Myida,Teredinidae,Bankia ,sp. 7,Large with calcareous pallet 
xylo-9,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 9,maybe clenchi
xylo-10,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylonora,sp. 10,
xylo-11,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 11,
xylo-12,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 12,maybe abyssorum
xylo-13,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 13,maybe profunda
xylo-15,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylonora,sp. 1 AC78,
xylo-16,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,spp.,